model,case_id,state,runner_seconds,builtin_tool_wall_seconds,provider_execution_seconds,provider_queue_seconds,sampling_node_seconds,first_to_last_step_seconds,collection_to_saved_seconds,gpu,vram_total_bytes,vram_free_before_submit_bytes,prompt_id,cleanup_complete
codex,anime-01-book-r1,succeeded,,47.6,,,,,,,,,,True
codex,anime-01-book-r2,succeeded,,27.4,,,,,,,,,,True
codex,anime-01-contact-r1,succeeded,,26.0,,,,,,,,,,True
codex,anime-01-contact-r2,succeeded,,36.6,,,,,,,,,,True
codex,anime-01-wave-r1,succeeded,,23.1,,,,,,,,,,True
codex,anime-01-wave-r2,succeeded,,22.1,,,,,,,,,,True
codex,anime-02-book-r1,succeeded,,39.5,,,,,,,,,,True
codex,anime-02-book-r1-reverse-position,succeeded,,36.4,,,,,,,,,,True
codex,anime-02-book-r2,succeeded,,36.6,,,,,,,,,,True
codex,anime-02-contact-r1,succeeded,,37.3,,,,,,,,,,True
codex,anime-02-contact-r1-reverse-position,succeeded,,27.7,,,,,,,,,,True
codex,anime-02-contact-r2,succeeded,,36.5,,,,,,,,,,True
codex,anime-02-wave-r1,succeeded,,44.1,,,,,,,,,,True
codex,anime-02-wave-r2,succeeded,,38.4,,,,,,,,,,True
codex,anime-03-book-r1,succeeded,,37.9,,,,,,,,,,True
codex,anime-03-book-r1-reverse-position,succeeded,,43.9,,,,,,,,,,True
codex,anime-03-book-r2,succeeded,,40.8,,,,,,,,,,True
codex,anime-03-contact-r1,succeeded,,37.6,,,,,,,,,,True
codex,anime-03-contact-r1-reverse-position,succeeded,,40.8,,,,,,,,,,True
codex,anime-03-contact-r2,succeeded,,38.3,,,,,,,,,,True
codex,anime-03-wave-r1,succeeded,,37.6,,,,,,,,,,True
codex,anime-03-wave-r2,succeeded,,38.9,,,,,,,,,,True
codex,anime-04-book-r1,succeeded,,39.6,,,,,,,,,,True
codex,anime-04-book-r2,succeeded,,41.2,,,,,,,,,,True
codex,anime-04-contact-r1,succeeded,,38.0,,,,,,,,,,True
codex,anime-04-contact-r2,succeeded,,41.8,,,,,,,,,,True
codex,anime-04-wave-r1,succeeded,,45.7,,,,,,,,,,True
codex,anime-04-wave-r2,succeeded,,42.5,,,,,,,,,,True
codex,anime-05-book-r1,succeeded,,39.7,,,,,,,,,,True
codex,anime-05-book-r1-reverse-position,succeeded,,46.4,,,,,,,,,,True
codex,anime-05-book-r2,succeeded,,41.4,,,,,,,,,,True
codex,anime-05-contact-r1,succeeded,,45.0,,,,,,,,,,True
codex,anime-05-contact-r1-reverse-position,succeeded,,42.0,,,,,,,,,,True
codex,anime-05-contact-r2,succeeded,,39.5,,,,,,,,,,True
codex,anime-05-wave-r1,succeeded,,44.1,,,,,,,,,,True
codex,anime-05-wave-r2,succeeded,,43.7,,,,,,,,,,True
codex,live-01-book-r1,succeeded,,25.0,,,,,,,,,,True
codex,live-01-book-r2,failed,,21.3,,,,,,,,,,True
codex,live-01-contact-r1,failed,,23.3,,,,,,,,,,True
codex,live-01-wave-r1,succeeded,,21.3,,,,,,,,,,True
codex,live-01-wave-r2,succeeded,,21.3,,,,,,,,,,True
codex,live-02-book-r1,succeeded,,37.6,,,,,,,,,,True
codex,live-02-book-r1-reverse-position,succeeded,,40.7,,,,,,,,,,True
codex,live-02-book-r2,succeeded,,38.9,,,,,,,,,,True
codex,live-02-contact-r1,succeeded,,37.0,,,,,,,,,,True
codex,live-02-contact-r1-reverse-position,succeeded,,45.5,,,,,,,,,,True
codex,live-02-contact-r2,succeeded,,39.7,,,,,,,,,,True
codex,live-02-wave-r1,succeeded,,48.0,,,,,,,,,,True
codex,live-02-wave-r2,succeeded,,25.3,,,,,,,,,,True
codex,live-03-book-r1,succeeded,,28.2,,,,,,,,,,True
codex,live-03-book-r1-reverse-position,succeeded,,43.9,,,,,,,,,,True
codex,live-03-book-r2,succeeded,,42.0,,,,,,,,,,True
codex,live-03-contact-r1,succeeded,,42.4,,,,,,,,,,True
codex,live-03-contact-r1-reverse-position,succeeded,,44.0,,,,,,,,,,True
codex,live-03-contact-r2,succeeded,,56.8,,,,,,,,,,True
codex,live-03-wave-r1,succeeded,,41.8,,,,,,,,,,True
codex,live-03-wave-r2,succeeded,,38.4,,,,,,,,,,True
codex,live-04-book-r1,succeeded,,40.7,,,,,,,,,,True
codex,live-04-book-r2,succeeded,,41.6,,,,,,,,,,True
codex,live-04-contact-r1,succeeded,,42.1,,,,,,,,,,True
codex,live-04-contact-r2,succeeded,,41.1,,,,,,,,,,True
codex,live-04-wave-r1,succeeded,,46.8,,,,,,,,,,True
codex,live-04-wave-r2,succeeded,,41.4,,,,,,,,,,True
codex,live-05-book-r1,succeeded,,42.3,,,,,,,,,,True
codex,live-05-book-r1-reverse-position,succeeded,,44.0,,,,,,,,,,True
codex,live-05-book-r2,succeeded,,42.0,,,,,,,,,,True
codex,live-05-contact-r1,succeeded,,45.4,,,,,,,,,,True
codex,live-05-contact-r1-reverse-position,succeeded,,41.6,,,,,,,,,,True
codex,live-05-contact-r2,succeeded,,43.5,,,,,,,,,,True
codex,live-05-wave-r1,succeeded,,44.3,,,,,,,,,,True
codex,live-05-wave-r2,succeeded,,41.1,,,,,,,,,,True
h3,anime-01-book-r1,succeeded,126.71733975410461,,119.436,0.001,16.055857,14.898451,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,26a16a72-d056-47a9-bf3c-07fa22fac9c9,True
h3,anime-01-wave-r1,succeeded,189.77399706840515,,168.008,11.453,47.230733,15.097279,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,4368616366,8448edcb-ce83-4cd5-839f-f4c13dec1bc5,True
h3,anime-02-book-r1,succeeded,224.54051876068115,,203.592,9.562,56.059728,21.81702,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,4364231922,74674e1a-9922-4855-9a19-40cd163b5906,True
h3,anime-02-wave-r1,succeeded,221.5952079296112,,201.183,11.499,51.893232,21.449867,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,3834873894,d1719d22-550f-419b-9814-a455cf47c5c1,True
h3,anime-03-book-r1,succeeded,409.02382016181946,,399.831,0.002,30.379924,28.506488,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7729213716,621cf5e4-d171-47eb-9514-889a64e3a54a,True
h3,anime-03-wave-r1,succeeded,412.80980014801025,,403.023,0.001,30.286128,28.472504,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,83d50317-783a-462e-a75d-17908c69b2fa,True
h3,anime-04-book-r1,succeeded,560.3170411586761,,550.818,0.001,119.672529,113.450923,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7729213716,4e601dba-c703-4f91-b3f3-c45c0eaa6fae,True
h3,anime-04-wave-r1,succeeded,543.1475119590759,,532.885,0.001,119.714616,113.302859,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,2c2cd087-5583-48ad-a2f9-67cd5e6029a2,True
h3,anime-05-book-r1,succeeded,609.8311231136322,,592.347,0.001,125.237259,118.66906,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7729213716,4cdee060-8dc8-43a4-a1f4-3ff5afd909ed,True
h3,anime-05-wave-r1,succeeded,587.5748732089996,,576.722,0.001,124.847575,118.254579,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,e66f8dc2-efb1-4938-8b4b-42601b650b28,True
h3,live-01-book-r1,succeeded,129.16760087013245,,119.307,0.001,16.257806,15.064939,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,dfa3c720-6291-4985-aa8d-9539a482f172,True
h3,live-01-wave-r1,succeeded,132.67997479438782,,123.392,0.001,16.309208,15.190308,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7881343252,d8832eb4-5d68-4fac-9b06-4794ffd1cb02,True
h3,live-02-book-r1,succeeded,166.61594820022583,,157.227,0.001,23.105183,21.461307,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7881343252,654048a8-f9ff-4700-aa9b-6a2bd03e6096,True
h3,live-02-wave-r1,succeeded,162.9417748451233,,154.38,0.001,22.916152,21.432504,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7727116564,3751d19f-bffe-4239-b650-faccdd3427b2,True
h3,live-03-book-r1,succeeded,408.93199372291565,,399.365,0.002,30.339237,28.485106,,cuda:0 NVIDIA GeForce RTX 5090 : cudaMallocAsync,33670758400,7729213716,0859c527-af2f-4a54-8ca4-8eddd8d37f46,True
